2022-10-13T04:46:32.081Z - info:   [0119] *** FOLDER: /home/rclarke/dev/projects/oletalk-token ***
2022-10-13T04:46:32.083Z - info:   [0119] AzureReposVSCode/1.161.1 (VSCode 1.72.1; Linux 5.4.72-microsoft-standard-WSL2; Node 16.14.2)
2022-10-13T04:46:32.272Z - warn:   [0119] TFVC Couldn't find where the TF command lives on disk.
2022-10-13T04:46:32.273Z - error:  [0119] The path to the TFVC command line (including filename) was not found in the user settings. Please set this value (tfvc.location) and try again.
2022-10-13T20:24:21.479Z - info:   [0119] *** FOLDER: /home/rclarke/dev/projects/oletalk-token ***
2022-10-13T20:24:21.483Z - info:   [0119] AzureReposVSCode/1.161.1 (VSCode 1.72.1; Linux 5.4.72-microsoft-standard-WSL2; Node 16.14.2)
2022-10-13T20:24:21.564Z - warn:   [0119] TFVC Couldn't find where the TF command lives on disk.
2022-10-13T20:24:21.566Z - error:  [0119] The path to the TFVC command line (including filename) was not found in the user settings. Please set this value (tfvc.location) and try again.
2022-10-13T20:24:32.066Z - info:   [0119] *** FOLDER: /home/rclarke/dev/projects/oletalk-token ***
2022-10-13T20:24:32.066Z - info:   [0119] AzureReposVSCode/1.161.1 (VSCode 1.72.1; Linux 5.4.72-microsoft-standard-WSL2; Node 16.14.2)
2022-10-13T20:24:32.077Z - warn:   [0119] TFVC Couldn't find where the TF command lives on disk.
2022-10-13T20:24:32.078Z - error:  [0119] The path to the TFVC command line (including filename) was not found in the user settings. Please set this value (tfvc.location) and try again.
2022-10-13T23:59:36.725Z - info:   [0119] *** FOLDER: /home/rclarke/dev/projects/oletalk-token ***
2022-10-13T23:59:36.729Z - info:   [0119] AzureReposVSCode/1.161.1 (VSCode 1.72.1; Linux 5.4.72-microsoft-standard-WSL2; Node 16.14.2)
2022-10-13T23:59:36.766Z - warn:   [0119] TFVC Couldn't find where the TF command lives on disk.
2022-10-13T23:59:36.767Z - error:  [0119] The path to the TFVC command line (including filename) was not found in the user settings. Please set this value (tfvc.location) and try again.
2022-10-13T23:59:38.281Z - info:   [0119] *** FOLDER: /home/rclarke/dev/projects/oletalk-token ***
2022-10-13T23:59:38.281Z - info:   [0119] AzureReposVSCode/1.161.1 (VSCode 1.72.1; Linux 5.4.72-microsoft-standard-WSL2; Node 16.14.2)
